package,current,latest,type,risk,notes
"prettier","","3.6.2","devDependencies","medium","Minor/patch or dev-tool update; run typecheck and lint after upgrade."
"@typescript-eslint/eslint-plugin","8.46.2","8.46.4","devDependencies","low",""
"@typescript-eslint/parser","8.46.2","8.46.4","devDependencies","low",""
"@vitejs/plugin-react","5.1.0","5.1.1","devDependencies","low",""
"eslint-config-next","16.0.1","16.0.3","devDependencies","low",""
"turbo","2.6.0","2.6.1","devDependencies","low",""
"vitest","4.0.6","4.0.9","devDependencies","low",""
"@modelcontextprotocol/sdk","1.21.1","1.22.0","dependencies","low",""
"@types/node","24.9.2","24.10.1","devDependencies","low",""
"eslint","9.38.0","9.39.1","devDependencies","low",""
"firebase","12.5.0","12.6.0","devDependencies","low",""
"firebase-admin","13.5.0","13.6.0","dependencies","low","Check admin SDK API changes and service-account flows."
"firebase-tools","14.24.0","14.25.0","devDependencies","low",""
"cspell","8.19.4","9.3.2","devDependencies","medium","Minor/patch or dev-tool update; run typecheck and lint after upgrade."
"glob","10.4.5","11.0.3","dependencies","medium","Minor/patch or dev-tool update; run typecheck and lint after upgrade. glob@11 introduces ESM-only changes — verify tooling imports (use glob@11 ESM API)."
"import-in-the-middle","1.15.0","2.0.0","devDependencies","medium","Minor/patch or dev-tool update; run typecheck and lint after upgrade."
"require-in-the-middle","7.5.2","8.0.1","devDependencies","medium","Minor/patch or dev-tool update; run typecheck and lint after upgrade."
"markdownlint-cli","0.40.0","0.45.0","devDependencies","low",""