package,current,wanted,latest,type,workspace,homepage
"prettier","","3.6.2","3.6.2","devDependencies","",""
"@typescript-eslint/eslint-plugin","8.46.2","8.46.2","8.46.4","devDependencies","",""
"@typescript-eslint/parser","8.46.2","8.46.2","8.46.4","devDependencies","",""
"@vitejs/plugin-react","5.1.0","5.1.0","5.1.1","devDependencies","",""
"eslint-config-next","16.0.1","16.0.1","16.0.3","devDependencies","",""
"turbo","2.6.0","2.6.0","2.6.1","devDependencies","",""
"vitest","4.0.6","4.0.6","4.0.9","devDependencies","",""
"@modelcontextprotocol/sdk","1.21.1","1.21.1","1.22.0","dependencies","",""
"@types/node","24.9.2","24.9.2","24.10.1","devDependencies","",""
"eslint","9.38.0","9.38.0","9.39.1","devDependencies","",""
"firebase","12.5.0","12.5.0","12.6.0","devDependencies","",""
"firebase-admin","13.5.0","13.5.0","13.6.0","dependencies","",""
"firebase-tools","14.24.0","14.24.0","14.25.0","devDependencies","",""
"cspell","8.19.4","8.19.4","9.3.2","devDependencies","",""
"glob","10.4.5","10.4.5","11.0.3","dependencies","",""
"import-in-the-middle","1.15.0","1.15.0","2.0.0","devDependencies","",""
"require-in-the-middle","7.5.2","7.5.2","8.0.1","devDependencies","",""
"markdownlint-cli","0.40.0","0.40.0","0.45.0","devDependencies","",""